Chansons;Chanteurs;Année;Thèmes
3e sexe;Indochine;1985;
A nos actes manqués;Jean-Jacques Goldman;1990;
A nos souvenirs;Trois Cafés Gourmands;2017;
Adolescente Pirate;Léa Paci;2017;Jeunes femmes
Ailleurs;Orelsan;2025;
Aimer à mort;Louane;2020;Aimer à tous les temps
Alain Souchon;Foule Sentimentale;1993;
Alexandrie Alexandra;Claude François;1977;Prénoms
Aline;Christophe;1965;Prénoms
Aline;Therapie TAXI;2018;
Allumer le feu;Johnny Hallyday;1998;
Alors on danse;Stromae;2009;
Alter ego;Jean-Louis Aubert;2001;
J'ai cherché;Amir;2016;Cache-cache
Amour plastique;Videoclub;2018;
Andalouse;Kendji Girac;2014;
Au bout de mes rêves;Jean-Jacques Goldman;1982;
Au soleil;Jenifer;2002;Bulletin météo
Avant qu'elle parte;Sexion d'Assaut;2012;
Avant toi;Vitaa, Slimane;2019;
Balance ton quoi;Angèle;2019;
Basique;Orelsan;2017;
Beau malheur;Emmanuel Moire;2013;
beau-papa;Vianney;2020;Histoires de pères
Bella;GIMS;2013;
Belle demoiselle;Christophe Maé;2007;Jeunes femmes
Boum boum boum;Mika;2014;
Butterfly;Superbus;2006;Titre en anglais
Ça (c'est vraiment toi);Téléphone;1982;
Ca fait mal;Christophé Maé;2007;
Ca ira;Joyce Jonathan;2013;
Ca m'énerve;Helmut Fritz;2009;
Ca va ça vient;Vitaa, Slimane;2019;
Capri c'est fini;Hervé Vilard;1965;
Caravane;Raphaël;2005;
Carmen;Stromae;2015;
Casser la voix;Patrick Bruel;1989;
Ce que l'on s'aime;Tryo;2008;
Cendrillon;Téléphone;1982;
C'est dit;Calogero;2009;
Cette année-là;Claude François;1976;
Chanson sur ma drôle de vie;Véronique Sanson;1972;
Chanter;Florent Pagny;1997;
Clown;Soprano;2015;
Cœur maladroit;Marine;2025;
Comme des enfants;Cœur de pirate;2009;
Comme ils disent;Charles Aznavour;1972;
Comme toi;Jean-Jacques Goldman;1982;
Cosmo;Soprano;2014;
Coup de vieux;Bigflo & Oli;2022;Coups en tous genres
Coups et blessures;BB Brunes;2012;Coups en tous genres
Dans les yeux d'Emilie;Joe Dassin;1978;
Dans mon HLM;Renaud;1980;Guerres de voisinage
Défaite de famille;Orelsan;2017;
Demain;Bigflo & Oli;2018;
Dernière danse;Kyo;2003;
Dernière danse;Indila;2013;
Derrière le brouillard;Grand corps malade;2020;
Dès que le vent soufflera;Renaud;1983;
Désolé;Sexion d'Assaut;2010;
Désolé pour hier soir;Tryo;2003;
Dingue, dingue, dingue;Christophé Maé;2010;
Dis-moi;BB Brunes;2007;
Dommage;Bigflo & Oli;2017;
Donne-moi le temps;Jenifer;2003;
Donnez-moi;Les Frangines;2019;
Double je;Christophe Willem;2007;
Douce France;Charles Trenet;1943;
Ella, elle l'a;France Gall;1987;
Elle a les yeux revolver;Marc Lavoine;1985;
Elle habite ici;De Palmas;2004;
Elle me dit;Mika;2011;
Emmenez-moi;Charles Aznavour;1967;
En apesanteur;Calogero;2002;Décollage imminent
En chantant;Michel Sardou;1978;
En cloque;Renaud;1983;
En rouge et noir;Jeanne Mas;1986;En couleurs
Encore et encore;Francis Cabrel;1985;
Encore un matin;Jean-Jacques Goldman;1984;
Envole-moi;Jean-Jacques Goldman;1984;Décollage imminent
Est-ce que tu m'aimes;GIMS;2015;
Et si tu n'existais pas;Joe Dassin;1975;
Eté 90;Therapie TAXI;2021;
Etre une femme;Michel Sardou;1981;
Face à la mer;Calogero;2004;
Femme libérée;Cookie Dingler;1984;
For me formidable;Charles Aznavour;1963;
Formidable;Stromae;2013;
Gabrielle;Johnny Hallyday;1976;
Game over;Vitaa;2013;
Golden Baby;Cœur de pirate;2012;
Toi + Moi;Grégoire;2008;Pronoms
Toi et moi;Guillaume Grand;2010;Pronoms
Hey oh;Tragédie;2003;
Hit Sale;Therapie TAXI;2018;
Il en faut peu pour être heureux;Jean Stout;1967;Disney
Il est où le bonheur;Christophé Maé;2016;
Il jouait du piano debout;France Gall;1980;Avec le mot Piano
Il me dit que je suis belle;Patricia Kaas;1993;
J'ai demandé à la lune;Indochine;2002;
Je chante;Charles Trenet;1937;
Je l'aime à mourir;Francis Cabrel;1979;
Je m'en vais;Vianney;2015;
Je m'en vais;Vianney;2016;
Je ne sais pas;Joyce Jonathan;2009;
Je suis un homme;Zazie;2007;
Je t'accuse;Suzane;2025;
Je t'aimais, je t'aime, je t'aimerai;Francis Cabrel;1994;Aimer à tous les temps
Je te le donne;Vitaa, Slimane;2018;
Je te promets;Johnny Hallyday;1987;
Je vais t'aimer;Michel Sardou;1976;
Je veux;Zaz;2010;
Je viens du Sud;Chimène Badi;2004;
Je vole;Louane;2014;Décollage imminent
J'en rêve encore;De Palmas;2000;
J'envoie valser;Zazie;1995;
J'irai au bout de mes rêves;Jean-Jacques Goldman;1983;
J'irai où tu iras;Céline Dion;1995;Duos fille/garçon
J'me tire;GIMS;2013;
Jour 1;Louane;2014;
Jour meilleur;Orelsan;2021;
J'te l'dis quand même;Patrick Bruel;1989;
J't'emmène au vent;Louise Attaque;1997;Décollage imminent
J'traîne des pieds;Olivia Ruiz;2007;
Juste une illusion;Jean-Louis Aubert;1986;
La bohème;Charles Aznavour;1965;
La corrida;Francis Cabrel;1994;
La femme chocolat;Olivia Ruiz;2005;Sucré-salé
La foule;Edith Piaf;1958;
La groupie du pianiste;Michel Delpech;1980;Avec le mot Piano
La java de Broadway;Michel Sardou;1977;
La lettre;Renan Luce;2006;
la maison;marguerite;2025;
La maladie d'amour;Michel Sardou;1973;
La musique que j'aime;Johnny Hallyday;1973;
Là où je t'emmènerai;Florent Pagny;2006;
La pluie;Orelsan;2018;
La quête;Orelsan;2021;
La terre est ronde;Orelsan;2011;
La tribu de Dana;Manau;1998;
La tristitude;Oldelaf;2011;
La vie en rose;Edith Piaf;1946;En couleurs
Là-bas;Jean-Jacques Goldman;1987;
Lady Mélody;Tom Frager;2009;Prénoms
Laisse béton;Renaud;1977;
L'assasymphonie;Mozart l'Opéra Rock;2009;
L'aventurier;Indochine;1982;
L'Aziza;Daniel Balavoine;1985;
Le chasseur (Les oies sauvages);Michel Delpech;1974;
Le chemin;Kyo;2003;
Le diable ne s'habille plus en Prada;Soprano;2016;
Le dîner;Bénabar;2005;Bon appétit
Le Graal;Kyo;2014;
Le Loir et Cher;Michel Delpech;1979;
Le parking des anges;Marc Lavoine;1986;
Le pouvoir des fleurs;Laurent Voulzy;1992;
Le sens de la vie;Tal;2012;
Le vent nous portera;Noir Désir;2001;Décollage imminent
Léa;Louise Attaque;1997;
L'encre de tes yeux;Francis Cabrel;1980;
L'envie;Johnny Hallyday;1986;
Les Champs-Elysées;Joe Dassin;1969;Symboles français, A Paris
Les choses simples;Jenifer;2018;
Les corons;Pierre Bachelet;1982;
Les filles d'aujourd'hui;Joyce Jonathan;2016;Femmes actuelles
les filles, les meufs;marguerite;2025;Femmes actuelles
Les imbéciles;Vianney;2020;
Les lacs du Connemara;Michel Sardou;1981;
Les mots bleus;Christophe;1974;En couleurs
Les murs porteurs;Florent Pagny;2013;
Les sunlights des tropiques;Gilbert Montagné;1985;
Les voisines;Renan Luce;2006;Guerres de voisinage
L'homme pressé;Noir Désir;1996;
L'horloge tourne;Mickaël Miro;2010;
L'hymne de nos campagnes;Tryo;1998;
Libérée, délivrée;Anaïs Delva;2013;Disney
Liberta;Pep's;2008;
Libertine;Mylène Farmer;1986;
Lola;Superbus;2007;Prénoms
Ma faute;Marine;2025;
Ma liberté de penser;Florent Pagny;2003;
Ma meilleure ennemie;Stromae;2024;
Ma révolution;Jenifer;2004;
Magic in the air;Magic System;2014;Titre en anglais
Manhattan-Kaboul;Renaud;2002;Duos fille/garçon
Marche à l'ombre;Renaud;1980;
Marie;Johnny Hallyday;2002;Prénoms
Mistral gagnant;Renaud;1985;
Moi… Lolita;Alizée;2000;Jeunes femmes
Mon amant de Saint-Jean;Patrick Bruel;2002;
Mon fils ma bataille;Daniel Balavoine;1980;Histoires de pères
Mon mec à moi;Patricia Kaas;1988;
Morgane de toi;Renaud;1983;
Musique;France Gall;1977;
New York avec toi;Téléphone;1984;
Non non non (Ecouter Barbara);Camélia Jordana;2010;
Nos célébrations;Indochine;2020;
Nuit de folie;Début de soirée;1989;
On;Joyce Jonathan;2018;
On ira;Zaz;2013;
On s'attache;Christophé Maé;2007;
On se connaît;Youssoupha;2012;
On va s'aimer;Gilbert Montagné;1984;
On verra;Nekfeu;2015;
Papaoutai;Stromae;2013;Histoires de pères
Parce qu'on vient de loin;Corneille;2002;
Pardonne-moi;Louane;2022;
Parle à ma main;Fatal Bazooka;2007;
Partenaire Particulier;Partenaire Particulier;1985;
particule;miki;2025;
Pas là;Vianney;2014;
Petite Marie;Francis Cabrel;1977;
Place des grands hommes;Patrick Bruel;1989;
Popcorn salé;Santa;2022;Sucré-salé
Poupée de cire, poupée de son;France Gall;1965;
Pour que tu m'aimes encore;Céline Dion;1995;
Pourvu;Gauvain Sers;2017;
Pourvu qu'elles soient douces;Mylène Farmer;1988;
Problèmes d'adultes;Sexion d'Assaut;2012;
Quand la musique est bonne;Jean-Jacques Goldman;1999;
Quand on arrive en ville;Daniel Balavoine;1978;
Qui a le droit;Patrick Bruel;1991;
Réseaux;Niska;2017;
Résiste;France Gall;1981;
Restes d'averse;Marine;2025;Bulletin météo
Rien n'est parfait;Tal;2012;
Rien qu'une fois;Keen'V;2015;
Rockollection;Laurent Voulzy;1977;Titre en anglais
Roule;Soprano;2016;
Rue de la paix;Zazie;2001;A Paris
Rue des étoiles;Grégoire;2008;
Savoir aimer;Florent Pagny;1997;
Sensualité;Axelle Red;1993;
Si j'étais président;Gérard Lenorman;1980;
Si maman si;France Gall;1977;
Si t'étais là;Louane;2017;
Siffler sur la colline;Joe Dassin;1968;
Soulman;Ben L'Oncle Soul;2010;
Sous le vent;Céline Dion;2000;Duos fille/garçon
Speed;Zazie;2018;Titre en anglais
Sur la route;De Palmas;1994;
Ta fête;Stromae;2013;
Ta main;Grégoire;2008;
Ta marinière;Hoshi;2018;Symboles français
Temps à nouveau;Jean-Louis Aubert;1992;
Tombé sous le charme;Christophé Maé;2013;
Ton combat;Arcadian;2017;
Ton invitation;Louise Attaque;1997;
Toujours debout;Renaud;2016;
Tournent les violons;Jean-Jacques Goldman;2001;
Tous les mêmes;Stromae;2013;
Tout oublier;Angèle;2018;Problèmes de mémoire
Tout va bien;Orelsan;2017;
Trois nuits par semaine;Indochine;1985;
Un autre monde;Téléphone;1984;
Un homme debout;Claudio Capéo;2016;
Un point c'est toi;Zazie;1995;
Une seule vie;De Palmas;2000;
Virile;Suzane;2025;
Vous les copains;Sheila;1964;
Wati by Night;Sexion d'Assaut;2010;
Y a d'la joie;Charles Trenet;1938;
Zen;Zazie;1995;
Zombie;GIMS;2013;
Fête de trop;Eddy de Pretto;2017;
Kid;Eddy de Pretto;2017;Titre en anglais
Eve lève-toi;Julie Pietri;1987;
Aimée pour de vrai;Héléna;2024;
Tout a changé (rien n'a changé);Héléna;2025;
Mauvais garçon;Héléna;2024;
Pas de boogie woogie;Eddy Mitchell;1976;
Couleur menthe à l'eau;Eddy Mitchell;1980;
Sur la route de Memphis;Eddy Mitchell;1976;
La dernière séance;Eddy Mitchell;1977;
Djadja;Aya Nakamura;2018;
Pookie;Aya Nakamura;2019;
Le bilan;Nèg'Marrons;2000;
Les lionnes;Yannick Noah;2000;
Angela;Yannick Noah;2010;Prénoms
Aux arbres citoyens;Yannick Noah;2007;
